Circuit,Compound,StintLap,AvgDeltaFromFirstLap
Jeddah,MEDIUM,20,-3.7504999999999953
Jeddah,MEDIUM,21,-3.8689999999999998
Jeddah,MEDIUM,22,-3.4399999999999977
Jeddah,MEDIUM,23,-4.005000000000003
Jeddah,MEDIUM,24,-3.9642499999999963
Jeddah,MEDIUM,25,-4.1015000000000015
Jeddah,MEDIUM,26,-4.261749999999999
Jeddah,MEDIUM,27,-4.291749999999997
Jeddah,MEDIUM,28,-4.133749999999996
Jeddah,MEDIUM,29,-4.494999999999997
Jeddah,MEDIUM,30,-3.847749999999998
Jeddah,SOFT,1,0.0
Jeddah,SOFT,2,-9.792333333333332
Jeddah,SOFT,3,-13.306999999999997
Jeddah,SOFT,4,-13.098
Jeddah,SOFT,5,-12.332999999999991
Jeddah,SOFT,6,-12.683999999999997
Jeddah,SOFT,7,-12.986499999999992
Jeddah,SOFT,8,-13.134499999999997
Jeddah,SOFT,9,-13.523499999999991
Jeddah,SOFT,10,-13.287999999999997
Jeddah,SOFT,11,-13.503499999999997
Jeddah,SOFT,12,-12.641499999999994
Jeddah,SOFT,13,-12.790999999999997
Jeddah,SOFT,14,-13.652499999999996
Jeddah,SOFT,15,-8.235
Jeddah,SOFT,16,-5.625
Las Vegas,HARD,1,0.0
Las Vegas,HARD,2,-23.2715
Las Vegas,HARD,3,-23.55933333333333
Las Vegas,HARD,4,-23.516000000000002
Las Vegas,HARD,5,-21.230166666666666
Las Vegas,HARD,6,-18.324749999999998
Las Vegas,HARD,7,-23.816333333333333
Las Vegas,HARD,8,-23.920666666666666
Las Vegas,HARD,9,-23.806666666666665
Las Vegas,HARD,10,-23.737222222222222
Las Vegas,HARD,11,-23.762875
Las Vegas,HARD,12,-23.083875
Las Vegas,HARD,13,-24.114285714285717
Las Vegas,HARD,14,-22.475857142857144
Las Vegas,HARD,15,-24.218999999999998
Las Vegas,HARD,16,-19.31533333333333
Las Vegas,HARD,17,-23.8146
Las Vegas,HARD,18,-24.362199999999994
Las Vegas,HARD,19,-23.063599999999997
Las Vegas,HARD,20,-12.782499999999995
Las Vegas,HARD,21,-23.448999999999998
Las Vegas,HARD,22,-23.4705
Las Vegas,HARD,23,-20.549999999999997
Las Vegas,HARD,24,-7.323999999999998
Las Vegas,HARD,25,7.292000000000002
Las Vegas,MEDIUM,1,0.0
Las Vegas,MEDIUM,2,-15.665947368421053
Las Vegas,MEDIUM,3,-17.136
Las Vegas,MEDIUM,4,-17.212000000000003
Las Vegas,MEDIUM,5,-17.288722222222223
Las Vegas,MEDIUM,6,-17.21272222222222
Las Vegas,MEDIUM,7,-17.134888888888888
Las Vegas,MEDIUM,8,-17.15822222222222
Las Vegas,MEDIUM,9,-17.192
Las Vegas,MEDIUM,10,-18.34505882352941
Las Vegas,MEDIUM,11,-18.57170588235294
Las Vegas,MEDIUM,12,-17.70207142857143
Las Vegas,MEDIUM,13,-17.507428571428573
Las Vegas,MEDIUM,14,-17.320076923076925
Las Vegas,MEDIUM,15,-17.475153846153848
Las Vegas,MEDIUM,16,-17.36276923076923
Las Vegas,MEDIUM,17,-15.107538461538459
Las Vegas,MEDIUM,18,-14.941909090909094
Las Vegas,MEDIUM,19,-12.799333333333335
Las Vegas,MEDIUM,20,-11.694333333333335
Las Vegas,MEDIUM,21,-11.83957142857143
Las Vegas,MEDIUM,22,-11.935714285714287
Las Vegas,MEDIUM,23,-13.616666666666665
Las Vegas,MEDIUM,24,-13.669500000000005
Las Vegas,MEDIUM,25,-13.794333333333334
Las Vegas,MEDIUM,26,-13.792833333333334
Las Vegas,MEDIUM,27,-13.719166666666666
Las Vegas,MEDIUM,28,-13.7765
Las Vegas,MEDIUM,29,-13.980333333333334
Las Vegas,MEDIUM,30,-12.357399999999995
Las Vegas,MEDIUM,31,-18.999666666666666
Las Vegas,MEDIUM,32,-27.274500000000003
Las Vegas,MEDIUM,33,-12.460499999999998
Las Vegas,MEDIUM,34,-15.108999999999996
Las Vegas,SOFT,1,0.0
Las Vegas,SOFT,2,-10.953000000000001
Las Vegas,SOFT,3,-11.1663125
Las Vegas,SOFT,4,-11.352562500000001
Las Vegas,SOFT,5,-10.65346666666667
Las Vegas,SOFT,6,-9.928066666666666
Las Vegas,SOFT,7,-9.787214285714287
Las Vegas,SOFT,8,-9.623214285714287
Las Vegas,SOFT,9,-8.243
Las Vegas,SOFT,10,-9.571071428571429
Las Vegas,SOFT,11,-14.393777777777778
Las Vegas,SOFT,12,-16.41116666666667
Las Vegas,SOFT,13,-24.91325
Las Vegas,SOFT,14,-25.07375
Las Vegas,SOFT,15,-21.593000000000007
Las Vegas,SOFT,16,-22.226000000000003
Las Vegas,SOFT,17,-30.38900000000001
Las Vegas,SOFT,18,-30.339
Las Vegas,SOFT,19,-30.349000000000004
Las Vegas,SOFT,20,-30.60600000000001
Mexico,HARD,1,0.0
Mexico,HARD,2,-20.071285714285715
Mexico,HARD,3,-20.466857142857144
Mexico,HARD,4,-20.456142857142858
Mexico,HARD,5,-20.053285714285717
Mexico,HARD,6,-20.344142857142856
Mexico,HARD,7,-20.178142857142856
Mexico,HARD,8,-20.217000000000002
Mexico,HARD,9,-20.179
Mexico,HARD,10,-20.546285714285712
Mexico,HARD,11,-20.281000000000002
Mexico,HARD,12,-20.546857142857142
Mexico,HARD,13,-20.44214285714286
Mexico,HARD,14,-20.174714285714284
Mexico,HARD,15,-19.872142857142858
Mexico,HARD,16,-19.85271428571429
Mexico,HARD,17,-19.84728571428571
Mexico,HARD,18,-19.84357142857143
Mexico,HARD,19,-19.542714285714283
Mexico,HARD,20,-20.15028571428571
Mexico,HARD,21,-20.203285714285716
Mexico,HARD,22,-20.11885714285714
Mexico,HARD,23,-19.95757142857143
Mexico,HARD,24,-19.666666666666668
Mexico,HARD,25,-16.819333333333333
Mexico,HARD,26,-19.819166666666668
Mexico,HARD,27,-20.053833333333333
Mexico,HARD,28,-19.890833333333333
Mexico,HARD,29,-19.74416666666667
Mexico,HARD,30,-20.2602
Mexico,HARD,31,-14.405199999999999
Mexico,HARD,32,-18.116500000000002
Mexico,HARD,33,-16.58325
Mexico,HARD,34,-19.606500000000004
Mexico,HARD,35,-19.4485
Mexico,HARD,36,-17.062333333333335
Mexico,HARD,37,-17.463333333333335
Mexico,HARD,38,-20.4315
Mexico,HARD,39,-20.180999999999997
Mexico,HARD,40,-19.883
Mexico,HARD,41,-20.201000000000008
Mexico,HARD,42,-19.648
Mexico,MEDIUM,1,0.0
Mexico,MEDIUM,2,-11.741842105263155
Mexico,MEDIUM,3,-12.005473684210523
Mexico,MEDIUM,4,-12.271578947368418
Mexico,MEDIUM,5,-12.375842105263159
Mexico,MEDIUM,6,-12.503631578947367
Mexico,MEDIUM,7,-12.357263157894735
Mexico,MEDIUM,8,-12.255684210526317
Mexico,MEDIUM,9,-12.342631578947369
Mexico,MEDIUM,10,-12.416315789473684
Mexico,MEDIUM,11,-12.28636842105263
Mexico,MEDIUM,12,-12.400947368421052
Mexico,MEDIUM,13,-12.110578947368419
Mexico,MEDIUM,14,-12.445421052631577
Mexico,MEDIUM,15,-12.326210526315789
Mexico,MEDIUM,16,-12.586105263157894
Mexico,MEDIUM,17,-12.254421052631578
Mexico,MEDIUM,18,-12.661555555555555
Mexico,MEDIUM,19,-12.614777777777778
Mexico,MEDIUM,20,-12.730722222222221
Mexico,MEDIUM,21,-11.38272222222222
Mexico,MEDIUM,22,-12.210294117647058
Mexico,MEDIUM,23,-12.078058823529412
Mexico,MEDIUM,24,-12.124
Mexico,MEDIUM,25,-12.211235294117646
Mexico,MEDIUM,26,-11.292941176470586
Mexico,MEDIUM,27,-12.27370588235294
Mexico,MEDIUM,28,-12.225235294117647
Mexico,MEDIUM,29,-12.211823529411765
Mexico,MEDIUM,30,-12.753874999999999
Mexico,MEDIUM,31,-12.511999999999997
Mexico,MEDIUM,32,-13.258399999999998
Mexico,MEDIUM,33,-12.458071428571428
Mexico,MEDIUM,34,-12.854307692307687
Mexico,MEDIUM,35,-13.768916666666668
Mexico,MEDIUM,36,-12.304499999999997
Mexico,MEDIUM,37,-12.231916666666663
Mexico,MEDIUM,38,-12.900166666666664
Mexico,MEDIUM,39,-13.589499999999997
Mexico,MEDIUM,40,-11.372999999999998
Mexico,MEDIUM,41,-15.100428571428571
Mexico,MEDIUM,42,-14.682999999999996
Mexico,MEDIUM,43,-15.06883333333333
Mexico,MEDIUM,44,-14.990599999999997
Mexico,MEDIUM,45,-15.911249999999995
Mexico,MEDIUM,46,-19.729333333333333
Mexico,MEDIUM,47,-21.547
Mexico,MEDIUM,48,-21.331000000000003
Mexico,SOFT,1,0.0
Mexico,SOFT,2,-14.614882352941176
Mexico,SOFT,3,-13.949687500000001
Mexico,SOFT,4,-14.104875
Mexico,SOFT,5,-13.929750000000002
Mexico,SOFT,6,-13.702687500000001
Mexico,SOFT,7,-13.711312500000002
Mexico,SOFT,8,-13.691562500000002
Mexico,SOFT,9,-13.752875000000003
Mexico,SOFT,10,-13.6218125
Mexico,SOFT,11,-13.112312500000002
Mexico,SOFT,12,-13.728125000000002
Mexico,SOFT,13,-13.962062500000002
Mexico,SOFT,14,-14.10625
Mexico,SOFT,15,-14.136375000000001
Mexico,SOFT,16,-13.760375000000002
Mexico,SOFT,17,-13.897375
Mexico,SOFT,18,-13.586733333333333
Mexico,SOFT,19,-12.440133333333334
Mexico,SOFT,20,-12.440133333333334
Mexico,SOFT,21,-12.838266666666668
Mexico,SOFT,22,-13.341666666666667
Mexico,SOFT,23,-12.614866666666668
Mexico,SOFT,24,-10.532416666666668
Mexico,SOFT,25,-13.510454545454548
Mexico,SOFT,26,-10.987222222222222
Mexico,SOFT,27,-14.043
Mexico,SOFT,28,-13.870375000000003
Mexico,SOFT,29,-14.435142857142855
Mexico,SOFT,30,-17.6136
Mexico,SOFT,31,-16.409000000000002
Mexico,SOFT,32,-16.398333333333337
Mexico,SOFT,33,-9.501999999999995
Mexico,SOFT,34,-9.590000000000003
Mexico,SOFT,35,-9.567999999999998
Mexico,SOFT,36,-9.448999999999998
Mexico,SOFT,37,-9.28
Mexico,SOFT,38,-5.530000000000001
Monaco,HARD,1,0.0
Monaco,HARD,2,-10.102744186046511
Monaco,HARD,3,-10.74346511627907
Monaco,HARD,4,-11.64660975609756
Monaco,HARD,5,-9.465268292682927
Monaco,HARD,6,-8.446341463414635
Monaco,HARD,7,-10.003749999999998
Monaco,HARD,8,-13.44135135135135
Monaco,HARD,9,-14.599138888888888
Monaco,HARD,10,-14.867444444444443
Monaco,HARD,11,-15.099285714285715
Monaco,HARD,12,-14.908085714285715
Monaco,HARD,13,-14.623142857142858
Monaco,HARD,14,-14.898457142857144
Monaco,HARD,15,-14.647914285714286
Monaco,HARD,16,-14.715285714285713
Monaco,HARD,17,-15.353828571428572
Monaco,HARD,18,-15.728542857142857
Monaco,HARD,19,-15.0174
Monaco,HARD,20,-14.465794117647059
Monaco,HARD,21,-15.203218750000001
Monaco,HARD,22,-15.31553125
Monaco,HARD,23,-17.9898
Monaco,HARD,24,-16.249214285714285
Monaco,HARD,25,-10.901571428571428
Monaco,HARD,26,-10.51842857142857
Monaco,HARD,27,-13.86592857142857
Monaco,HARD,28,-18.5339
Monaco,HARD,29,-18.6736
Monaco,HARD,30,-18.756
Monaco,HARD,31,-18.498649999999998
Monaco,HARD,32,-18.247799999999998
Monaco,HARD,33,-15.76025
Monaco,HARD,34,-8.673583333333331
Monaco,HARD,35,-12.188727272727272
Monaco,HARD,36,-12.369272727272726
Monaco,HARD,37,-12.788363636363634
Monaco,HARD,38,-12.838363636363635
Monaco,HARD,39,-12.90690909090909
Monaco,HARD,40,-12.897181818181815
Monaco,HARD,41,-12.79718181818182
Monaco,HARD,42,-12.761909090909091
Monaco,HARD,43,-12.82181818181818
Monaco,HARD,44,-11.224090909090908
Monaco,HARD,45,-13.183599999999998
Monaco,HARD,46,-13.212799999999998
Monaco,HARD,47,-11.483299999999996
Monaco,HARD,48,-13.17988888888889
Monaco,HARD,49,-12.301555555555552
Monaco,HARD,50,-10.176888888888888
Monaco,HARD,51,0.336222222222223
Monaco,HARD,52,0.6704000000000035
Monaco,HARD,53,1.969000000000001
Monaco,HARD,54,21.431
Monaco,HARD,55,28.63000000000001
Monaco,INTERMEDIATE,1,0.0
Monaco,INTERMEDIATE,2,-7.308214285714285
Monaco,INTERMEDIATE,3,-11.123444444444443
Monaco,INTERMEDIATE,4,-10.95853846153846
Monaco,INTERMEDIATE,5,-9.456479999999999
Monaco,INTERMEDIATE,6,-11.658136363636366
Monaco,INTERMEDIATE,7,-12.72747619047619
Monaco,INTERMEDIATE,8,-12.864333333333331
Monaco,INTERMEDIATE,9,-14.392380952380952
Monaco,INTERMEDIATE,10,-15.241809523809525
Monaco,INTERMEDIATE,11,-16.109714285714286
Monaco,INTERMEDIATE,12,-17.501333333333335
Monaco,INTERMEDIATE,13,-18.722952380952382
Monaco,INTERMEDIATE,14,-18.990571428571428
Monaco,INTERMEDIATE,15,-18.256476190476192
Monaco,INTERMEDIATE,16,-20.416571428571427
Monaco,INTERMEDIATE,17,-22.50257142857143
Monaco,INTERMEDIATE,18,-21.161095238095236
Monaco,INTERMEDIATE,19,-25.01347619047619
Monaco,INTERMEDIATE,20,-25.89038095238095
Monaco,INTERMEDIATE,21,-23.852190476190476
Monaco,INTERMEDIATE,22,-20.612333333333332
Monaco,INTERMEDIATE,23,-16.060750000000002
Monaco,INTERMEDIATE,24,-15.222666666666669
Monaco,INTERMEDIATE,25,-8.767333333333335
Monaco,INTERMEDIATE,26,-8.015
Monaco,MEDIUM,1,0.0
Monaco,MEDIUM,2,-15.639583333333333
Monaco,MEDIUM,3,-15.449791666666664
Monaco,MEDIUM,4,-16.252916666666668
Monaco,MEDIUM,5,-16.55920833333333
Monaco,MEDIUM,6,-17.013875
Monaco,MEDIUM,7,-17.022217391304345
Monaco,MEDIUM,8,-19.403
Monaco,MEDIUM,9,-19.317363636363634
Monaco,MEDIUM,10,-19.43159090909091
Monaco,MEDIUM,11,-17.91709090909091
Monaco,MEDIUM,12,-21.05928571428571
Monaco,MEDIUM,13,-21.10852380952381
Monaco,MEDIUM,14,-22.0893
Monaco,MEDIUM,15,-22.016099999999998
Monaco,MEDIUM,16,-21.769949999999998
Monaco,MEDIUM,17,-20.53315
Monaco,MEDIUM,18,-19.61115
Monaco,MEDIUM,19,-19.671157894736844
Monaco,MEDIUM,20,-20.76570588235294
Monaco,MEDIUM,21,-21.922874999999998
Monaco,MEDIUM,22,-25.00646666666666
Monaco,MEDIUM,23,-24.352933333333333
Monaco,MEDIUM,24,-23.097066666666663
Monaco,MEDIUM,25,-23.05233333333333
Monaco,MEDIUM,26,-22.898933333333332
Monaco,MEDIUM,27,-21.558466666666664
Monaco,MEDIUM,28,-24.859928571428572
Monaco,MEDIUM,29,-25.213285714285714
Monaco,MEDIUM,30,-25.12242857142857
Monaco,MEDIUM,31,-24.13357142857143
Monaco,MEDIUM,32,-25.139538461538457
Monaco,MEDIUM,33,-27.96375
Monaco,MEDIUM,34,-16.3445
Monaco,MEDIUM,35,-14.2028
Monaco,MEDIUM,36,-14.604399999999998
Monaco,MEDIUM,37,-14.649199999999999
Monaco,MEDIUM,38,-14.812800000000001
Monaco,MEDIUM,39,-14.609600000000004
Monaco,MEDIUM,40,-15.0324
Monaco,MEDIUM,41,-15.138399999999999
Monaco,MEDIUM,42,-15.215400000000002
Monaco,MEDIUM,43,-15.088
Monaco,MEDIUM,44,-15.344800000000001
Monaco,MEDIUM,45,-15.261800000000003
Monaco,MEDIUM,46,-14.752799999999999
Monaco,MEDIUM,47,-15.232000000000003
Monaco,MEDIUM,48,-15.265
Monaco,MEDIUM,49,-15.1052
Monaco,MEDIUM,50,-11.3156
Monaco,MEDIUM,51,-12.325249999999993
Monaco,MEDIUM,52,-7.261249999999998
Monaco,MEDIUM,53,9.986
Monaco,MEDIUM,54,-5.569000000000003
Monaco,MEDIUM,55,10.320500000000004
Monaco,MEDIUM,56,-26.11
Monaco,MEDIUM,57,-24.267
Monaco,MEDIUM,58,-20.692000000000007
Monaco,MEDIUM,59,-25.504999999999995
Monaco,MEDIUM,60,-25.655
Monaco,SOFT,1,0.0
Monaco,SOFT,2,-5.8644999999999925
Monaco,SOFT,3,0.8999999999999986
Monaco,SOFT,4,-5.911999999999999
Monaco,SOFT,5,-6.302
Monaco,SOFT,6,-5.1325
Monaco,SOFT,7,-6.221499999999999
Monaco,SOFT,8,-3.189000000000007
Monaco,SOFT,9,-3.3799999999999955
Monaco,SOFT,10,-3.338000000000008
Monaco,SOFT,11,-3.0160000000000053
Monaco,SOFT,12,-2.043999999999997
Monaco,SOFT,13,-3.3100000000000023
Monaco,SOFT,14,-3.2990000000000066
Monaco,SOFT,15,-0.6650000000000063
Monaco,SOFT,16,0.3529999999999944
Monaco,SOFT,17,-1.213000000000008
Monaco,SOFT,18,-2.1629999999999967
Monaco,SOFT,19,-2.057000000000002
Monaco,SOFT,20,-1.909000000000006
Monaco,SOFT,21,1.4429999999999978
Monaco,SOFT,22,-1.0640000000000072
Monaco,SOFT,23,-1.6539999999999964
Monaco,SOFT,24,-1.7720000000000056
Monaco,SOFT,25,-1.4699999999999989
Monaco,SOFT,26,1.445999999999998
Monaco,SOFT,27,2.4380000000000024
Monaco,SOFT,28,11.703000000000005
Monaco,SOFT,29,37.236
Monaco,WET,1,0.0
Monaco,WET,2,1.6422499999999953
Monaco,WET,3,-10.160250000000008
Monaco,WET,4,-11.348750000000006
Monaco,WET,5,-11.603250000000006
Monaco,WET,6,-13.215250000000001
Monaco,WET,7,-14.020750000000003
Monaco,WET,8,-13.941750000000003
Monaco,WET,9,-14.049250000000004
Monaco,WET,10,-15.421250000000004
Monaco,WET,11,-13.493000000000006
Monaco,WET,12,-14.646250000000006
Monaco,WET,13,-10.695000000000004
Monaco,WET,14,-17.709333333333337
Monaco,WET,15,-22.679500000000004
Monaco,WET,16,-22.978
Monaco,WET,17,-25.561
Monaco,WET,18,-34.72500000000001
Netherlands,HARD,1,0.0
Netherlands,HARD,2,-21.182882352941174
Netherlands,HARD,3,-20.501941176470588
Netherlands,HARD,4,-19.82588235294118
Netherlands,HARD,5,-18.630058823529414
Netherlands,HARD,6,-19.811529411764706
Netherlands,HARD,7,-20.68605882352941
Netherlands,HARD,8,-20.08070588235294
Netherlands,HARD,9,-18.006562499999998
Netherlands,HARD,10,-18.5911875
Netherlands,HARD,11,-18.0499375
Netherlands,HARD,12,-18.329133333333335
Netherlands,HARD,13,-13.262
Netherlands,HARD,14,-15.6315
Netherlands,HARD,15,-17.693099999999998
Netherlands,HARD,16,-15.1056
Netherlands,HARD,17,-14.809555555555555
Netherlands,HARD,18,-15.99425
Netherlands,HARD,19,-15.012142857142859
Netherlands,HARD,20,-12.068666666666664
Netherlands,HARD,21,-13.6898
Netherlands,HARD,22,-17.2652
Netherlands,HARD,23,-18.156
Netherlands,HARD,24,-14.3216
Netherlands,HARD,25,-20.46325
Netherlands,HARD,26,-20.176000000000002
Netherlands,HARD,27,-19.912999999999997
Netherlands,HARD,28,-17.593750000000004
Netherlands,HARD,29,-14.840333333333334
Netherlands,HARD,30,-5.796000000000002
Netherlands,HARD,31,-10.805499999999997
Netherlands,HARD,32,-18.9715
Netherlands,HARD,33,-19.61
Netherlands,HARD,34,-19.643500000000003
Netherlands,HARD,35,-12.333000000000006
Netherlands,HARD,36,-20.125
Netherlands,HARD,37,-17.930000000000007
Netherlands,HARD,38,12.084000000000003
Netherlands,MEDIUM,1,0.0
Netherlands,MEDIUM,2,-17.7176
Netherlands,MEDIUM,3,-20.599120000000003
Netherlands,MEDIUM,4,-22.301560000000006
Netherlands,MEDIUM,5,-22.43096
Netherlands,MEDIUM,6,-22.320880000000002
Netherlands,MEDIUM,7,-22.23224
Netherlands,MEDIUM,8,-21.16128
Netherlands,MEDIUM,9,-20.1334347826087
Netherlands,MEDIUM,10,-19.107695652173913
Netherlands,MEDIUM,11,-19.126826086956523
Netherlands,MEDIUM,12,-19.717391304347824
Netherlands,MEDIUM,13,-18.76721739130435
Netherlands,MEDIUM,14,-19.448857142857143
Netherlands,MEDIUM,15,-19.66521052631579
Netherlands,MEDIUM,16,-17.542277777777784
Netherlands,MEDIUM,17,-17.578705882352942
Netherlands,MEDIUM,18,-16.969250000000002
Netherlands,MEDIUM,19,-17.768066666666673
Netherlands,MEDIUM,20,-17.073785714285716
Netherlands,MEDIUM,21,-16.186500000000006
Netherlands,MEDIUM,22,-16.86988888888889
Netherlands,MEDIUM,23,-16.719375
Netherlands,MEDIUM,24,-17.112250000000003
Netherlands,MEDIUM,25,-16.94525
Netherlands,MEDIUM,26,-16.567125
Netherlands,MEDIUM,27,-16.30333333333333
Netherlands,MEDIUM,28,-15.5675
Netherlands,MEDIUM,29,-14.214000000000002
Netherlands,MEDIUM,30,-1.6614999999999895
Netherlands,MEDIUM,31,-5.157999999999987
Netherlands,SOFT,1,0.0
Netherlands,SOFT,2,-12.280763157894738
Netherlands,SOFT,3,-17.993868421052632
Netherlands,SOFT,4,-24.863026315789476
Netherlands,SOFT,5,-25.180815789473687
Netherlands,SOFT,6,-25.2896052631579
Netherlands,SOFT,7,-24.675
Netherlands,SOFT,8,-22.193210526315788
Netherlands,SOFT,9,-21.271416666666667
Netherlands,SOFT,10,-22.41536363636364
Netherlands,SOFT,11,-22.283516129032257
Netherlands,SOFT,12,-23.224275862068968
Netherlands,SOFT,13,-24.13518518518519
Netherlands,SOFT,14,-25.26404
Netherlands,SOFT,15,-23.60885
Netherlands,SOFT,16,-17.56533333333333
Netherlands,SOFT,17,-9.7694
Netherlands,SOFT,18,-10.05425
Netherlands,SOFT,19,-18.108000000000004
Netherlands,SOFT,20,-18.501000000000005
Netherlands,SOFT,21,-19.001000000000005
Netherlands,SOFT,22,-18.75500000000001
Netherlands,SOFT,23,-18.848
Netherlands,SOFT,24,-18.14800000000001
Netherlands,SOFT,25,-14.28200000000001
Silverstone,HARD,1,0.0
Silverstone,HARD,2,-23.2715
Silverstone,HARD,3,-23.55933333333333
Silverstone,HARD,4,-23.516000000000002
Silverstone,HARD,5,-21.230166666666666
Silverstone,HARD,6,-18.324749999999998
Silverstone,HARD,7,-23.816333333333333
Silverstone,HARD,8,-23.920666666666666
Silverstone,HARD,9,-23.806666666666665
Silverstone,HARD,10,-23.737222222222222
Silverstone,HARD,11,-23.762875
Silverstone,HARD,12,-23.083875
Silverstone,HARD,13,-24.114285714285717
Silverstone,HARD,14,-22.475857142857144
Silverstone,HARD,15,-24.218999999999998
Silverstone,HARD,16,-19.31533333333333
Silverstone,HARD,17,-23.8146
Silverstone,HARD,18,-24.362199999999994
Silverstone,HARD,19,-23.063599999999997
Silverstone,HARD,20,-12.782499999999995
Silverstone,HARD,21,-23.448999999999998
Silverstone,HARD,22,-23.4705
Silverstone,HARD,23,-20.549999999999997
Silverstone,HARD,24,-7.323999999999998
Silverstone,HARD,25,7.292000000000002
Silverstone,MEDIUM,1,0.0
Silverstone,MEDIUM,2,-15.665947368421053
Silverstone,MEDIUM,3,-17.136
Silverstone,MEDIUM,4,-17.212000000000003
Silverstone,MEDIUM,5,-17.288722222222223
Silverstone,MEDIUM,6,-17.21272222222222
Silverstone,MEDIUM,7,-17.134888888888888
Silverstone,MEDIUM,8,-17.15822222222222
Silverstone,MEDIUM,9,-17.192
Silverstone,MEDIUM,10,-18.34505882352941
Silverstone,MEDIUM,11,-18.57170588235294
Silverstone,MEDIUM,12,-17.70207142857143
Silverstone,MEDIUM,13,-17.507428571428573
Silverstone,MEDIUM,14,-17.320076923076925
Silverstone,MEDIUM,15,-17.475153846153848
Silverstone,MEDIUM,16,-17.36276923076923
Silverstone,MEDIUM,17,-15.107538461538459
Silverstone,MEDIUM,18,-14.941909090909094
Silverstone,MEDIUM,19,-12.799333333333335
Silverstone,MEDIUM,20,-11.694333333333335
Silverstone,MEDIUM,21,-11.83957142857143
Silverstone,MEDIUM,22,-11.935714285714287
Silverstone,MEDIUM,23,-13.616666666666665
Silverstone,MEDIUM,24,-13.669500000000005
Silverstone,MEDIUM,25,-13.794333333333334
Silverstone,MEDIUM,26,-13.792833333333334
Silverstone,MEDIUM,27,-13.719166666666666
Silverstone,MEDIUM,28,-13.7765
Silverstone,MEDIUM,29,-13.980333333333334
Silverstone,MEDIUM,30,-12.357399999999995
Silverstone,MEDIUM,31,-18.999666666666666
Silverstone,MEDIUM,32,-27.274500000000003
Silverstone,MEDIUM,33,-12.460499999999998
Silverstone,MEDIUM,34,-15.108999999999996
Silverstone,SOFT,1,0.0
Silverstone,SOFT,2,-10.953000000000001
Silverstone,SOFT,3,-11.1663125
Silverstone,SOFT,4,-11.352562500000001
Silverstone,SOFT,5,-10.65346666666667
Silverstone,SOFT,6,-9.928066666666666
Silverstone,SOFT,7,-9.787214285714287
Silverstone,SOFT,8,-9.623214285714287
Silverstone,SOFT,9,-8.243
Silverstone,SOFT,10,-9.571071428571429
Silverstone,SOFT,11,-14.393777777777778
Silverstone,SOFT,12,-16.41116666666667
Silverstone,SOFT,13,-24.91325
Silverstone,SOFT,14,-25.07375
Silverstone,SOFT,15,-21.593000000000007
Silverstone,SOFT,16,-22.226000000000003
Silverstone,SOFT,17,-30.38900000000001
Silverstone,SOFT,18,-30.339
Silverstone,SOFT,19,-30.349000000000004
Silverstone,SOFT,20,-30.60600000000001
Singapore,INTERMEDIATE,1,0.0
Singapore,INTERMEDIATE,2,-9.969904761904761
Singapore,INTERMEDIATE,3,-11.609285714285715
Singapore,INTERMEDIATE,4,-12.42147619047619
Singapore,INTERMEDIATE,5,-12.78452380952381
Singapore,INTERMEDIATE,6,-12.89704761904762
Singapore,INTERMEDIATE,7,-11.665421052631581
Singapore,INTERMEDIATE,8,4.661555555555558
Singapore,INTERMEDIATE,9,-9.653222222222224
Singapore,INTERMEDIATE,10,-13.163111111111114
Singapore,INTERMEDIATE,11,-13.08738888888889
Singapore,INTERMEDIATE,12,-12.144333333333334
Singapore,INTERMEDIATE,13,-11.965277777777779
Singapore,INTERMEDIATE,14,-13.611833333333333
Singapore,INTERMEDIATE,15,-13.704277777777778
Singapore,INTERMEDIATE,16,-13.903055555555556
Singapore,INTERMEDIATE,17,-12.761000000000003
Singapore,INTERMEDIATE,18,-14.298555555555557
Singapore,INTERMEDIATE,19,-2.7574117647058825
Singapore,INTERMEDIATE,20,-1.8217058823529437
Singapore,INTERMEDIATE,21,-13.055500000000002
Singapore,INTERMEDIATE,22,-14.742500000000005
Singapore,INTERMEDIATE,23,-4.200062500000002
Singapore,INTERMEDIATE,24,-2.8492142857142873
Singapore,INTERMEDIATE,25,-7.4066923076923095
Singapore,INTERMEDIATE,26,1.0466153846153896
Singapore,INTERMEDIATE,27,-14.969153846153846
Singapore,INTERMEDIATE,28,-15.574692307692308
Singapore,INTERMEDIATE,29,-13.66523076923077
Singapore,INTERMEDIATE,30,-12.384416666666665
Singapore,INTERMEDIATE,31,-11.205
Singapore,INTERMEDIATE,32,-5.435666666666663
Singapore,MEDIUM,1,0.0
Singapore,MEDIUM,2,-1.926999999999999
Singapore,MEDIUM,3,-4.824909090909091
Singapore,MEDIUM,4,-6.013799999999999
Singapore,MEDIUM,5,-7.1298
Singapore,MEDIUM,6,-7.478300000000002
Singapore,MEDIUM,7,-8.197099999999999
Singapore,MEDIUM,8,-9.225399999999999
Singapore,MEDIUM,9,-8.69811111111111
Singapore,MEDIUM,10,-8.975000000000001
Singapore,MEDIUM,11,-9.110222222222221
Singapore,MEDIUM,12,-9.24422222222222
Singapore,MEDIUM,13,-9.255
Singapore,MEDIUM,14,-9.735999999999999
Singapore,MEDIUM,15,-9.896222222222221
Singapore,MEDIUM,16,-9.967555555555556
